employee_id,store_id,employee_name,role,hourly_wage_mxn,max_weekly_hours
E00105,S002,Rosa Altamirano,Stock,65,48
E00106,S002,Magdalena Salcedo,Stock,65,48
E00107,S002,Karla Elisa Luna,Floor,70,48
E00108,S002,Martín Flavio Escobar Ferrer,Supervisor,120,48
E00109,S002,Miriam Ana Luisa Alfaro,Cashier,75,48
E00110,S002,Perla Hermelinda Maya,Customer Service,85,48
E00111,S002,Sr. Gustavo Lucio,Floor,70,48
E00112,S002,Alejandra Graciela Montañez Collazo,Stock,65,48
E00113,S002,Enrique Aranda,Floor,70,48
E00114,S002,Eva Mata,Floor,70,48
E00115,S002,Miguel Escobar,Stock,65,48
E00116,S002,Germán Oswaldo Mojica Perales,Stock,65,48
E00117,S002,Gabino Cristobal Godínez Verduzco,Floor,70,48
E00118,S002,Gabriela Mitzy Alvarado,Cashier,75,48
E00119,S002,Antonio Chacón,Supervisor,120,48
E00120,S002,Rocío Ocampo,Stock,65,48
E00121,S002,Jonás Bernardo Espinosa Lucero,Cashier,75,48
E00122,S002,Jesús Quezada,Cashier,75,48
E00123,S002,Leonel César Barreto,Cashier,75,48
E00124,S002,Ignacio Eduardo Laureano Palomo,Cashier,75,48
E00125,S002,José Manuél Silvano Avilés Madera,Floor,70,48
E00126,S002,Marcos Monroy Ojeda,Cashier,75,48
E00127,S002,Lic. Emilio Cervantes,Stock,65,48
E00128,S002,Dulce María Segura Garibay,Cashier,75,48
E00129,S002,Claudia Celia Montemayor Jimínez,Cashier,75,48
E00130,S002,Violeta Niño Mayorga,Floor,70,48
E00131,S002,Humberto Modesto Guillen Reyes,Cashier,75,48
E00132,S002,Esparta Terán Lara,Floor,70,48
E00133,S002,Oswaldo Serrato Sepúlveda,Cashier,75,48
E00134,S002,Juan Carlos Páez,Customer Service,85,48
E00135,S002,Nicolás Escamilla,Floor,70,48
E00136,S002,Samuel Montaño Lucio,Customer Service,85,48
E00137,S002,María Elena Delia Garica,Stock,65,48
E00138,S002,Sra. Marisol Ledesma,Cashier,75,48
E00139,S002,Aurelio Eric Rivera,Floor,70,48
E00140,S002,Alvaro Franco,Cashier,75,48
E00141,S002,Lucía Lozada,Cashier,75,48
E00142,S002,Sra. Rebeca Casas,Cashier,75,48
E00143,S002,Ing. Adela de la Rosa,Floor,70,48
E00144,S002,Porfirio Reyna Piña,Customer Service,85,48
E00145,S002,Asunción Estela Colunga,Cashier,75,48
E00146,S002,Abril Guadalupe Salgado Serrano,Cashier,75,48
E00147,S002,Marco Antonio Ramiro Arteaga,Customer Service,85,48
E00148,S002,Salvador Ernesto Lugo,Floor,70,48
E00149,S002,Sr. Clemente Blanco,Cashier,75,48
E00150,S002,Srita. Reina Espinoza,Cashier,75,48
E00151,S002,Timoteo Malave Pérez,Cashier,75,48
E00152,S002,Ruby Lilia Casas,Cashier,75,48
E00153,S002,Sra. Lilia Castro,Cashier,75,48
E00154,S002,Ana Micaela Madrid Murillo,Floor,70,48
E00155,S002,Lic. Susana Núñez,Floor,70,48
E00156,S002,Julia Guadalupe Olvera,Stock,65,48
E00157,S002,Sra. Gloria Garica,Customer Service,85,48
E00158,S002,Oswaldo Clemente Cabrera Valdez,Floor,70,48
E00159,S002,Genaro Augusto Parra Dávila,Floor,70,48
E00160,S002,Teodoro Mauro Bahena Almanza,Stock,65,48
E00161,S003,Florencia Susana Cardona,Cashier,75,48
E00162,S003,Mauricio Padilla Luevano,Cashier,75,48
E00163,S003,Lic. Fabiola Gurule,Cashier,75,48
E00164,S003,Genaro Miguel Ángel Montenegro Limón,Floor,70,48
E00165,S003,Adán Peña,Floor,70,48
E00166,S003,Sra. Abril Orta,Cashier,75,48
E00167,S003,José María Raúl Reyes Bernal,Stock,65,48
E00168,S003,Sra. Guillermina Cano,Cashier,75,48
E00169,S003,Dra. Cecilia Rosales,Stock,65,48
E00170,S003,Ing. José Manuél Saldaña,Cashier,75,48
E00171,S003,Esteban Alfonso Frías Hidalgo,Floor,70,48
E00172,S003,Ing. Lorena de la Fuente,Supervisor,120,48
E00173,S003,Emilio del Río Becerra,Stock,65,48
E00174,S003,Ramón Rosales Canales,Floor,70,48
E00175,S003,Karina Cervantes,Floor,70,48
E00176,S003,Emiliano Henríquez Quiñones,Stock,65,48
E00177,S003,Pilar Trinidad Parra,Customer Service,85,48
E00178,S003,Germán Quintanilla Saldaña,Cashier,75,48
E00179,S003,Wilfrido Emiliano Vera,Floor,70,48
E00180,S003,Lic. Uriel Cordero,Stock,65,48
E00181,S003,Mariana Casas Puente,Floor,70,48
E00182,S003,Jorge Luis Patiño,Customer Service,85,48
E00183,S003,Adela Carmen Hernández Meraz,Cashier,75,48
E00184,S003,Ing. Juana Cortés,Stock,65,48
E00185,S003,Vicente Prado,Supervisor,120,48
E00186,S003,Tania Huerta,Cashier,75,48
E00187,S003,Elvira Leonor de León Castillo,Stock,65,48
E00188,S003,María Eugenia Leiva Mondragón,Supervisor,120,48
E00189,S003,Reynaldo Aragón Meraz,Floor,70,48
E00190,S003,Hilda Zamudio Barajas,Floor,70,48
E00191,S003,Srita. Helena Ramos,Floor,70,48
E00192,S003,Srita. Ángela Casárez,Floor,70,48
E00193,S003,María Marisol Velásquez,Floor,70,48
E00194,S003,Sra. Frida Salas,Cashier,75,48
E00195,S003,Serafín Alberto Olvera Cardona,Floor,70,48
E00196,S003,Margarita Asunción Mateo Puga,Cashier,75,48
E00197,S003,Modesto Jacinto del Río Alfaro,Floor,70,48
E00198,S003,Mariana Noemí Quintanilla,Cashier,75,48
E00199,S003,Teresa Karina Cabrera,Stock,65,48
E00200,S003,Berta Magaña Cordero,Stock,65,48
E00201,S003,Dr. Uriel Ibarra,Floor,70,48
E00202,S003,Cecilia Becerra,Floor,70,48
E00203,S003,Asunción Teresa Reséndez Patiño,Floor,70,48
E00204,S003,Jos Arevalo,Floor,70,48
E00205,S003,Dra. Isabela Luna,Stock,65,48
E00206,S003,Jesús Matos Trejo,Floor,70,48
E00207,S003,Lic. Miriam Arteaga,Supervisor,120,48
E00208,S003,Lic. Flavio Merino,Stock,65,48
E00209,S003,Antonio Diego Robles Mayorga,Cashier,75,48
E00210,S003,Minerva Arredondo,Customer Service,85,48
E00211,S003,Felipe Gabino Collado,Cashier,75,48
E00212,S003,Sr. José Luis Enríquez,Floor,70,48
E00213,S003,Eloy Villarreal Esquivel,Stock,65,48
E00214,S003,Eric Mendoza,Floor,70,48
E00215,S003,Abel Alfonso Ibarra,Cashier,75,48
E00216,S003,Lourdes Benavides,Stock,65,48
E00217,S003,Cynthia María José Aguirre,Floor,70,48
E00218,S003,Esther Tamayo Villa,Floor,70,48
E00219,S003,Sr. Benjamín Carrasco,Stock,65,48
E00220,S003,Lic. Hilda Bahena,Supervisor,120,48
E00221,S003,Joaquín Villegas,Floor,70,48
E00222,S003,Violeta Frida Reyes,Cashier,75,48
E00223,S003,Jerónimo Gilberto Cardona,Cashier,75,48
E00224,S003,Ing. Reynaldo Chávez,Cashier,75,48
E00225,S003,Ing. Lucía Escobar,Stock,65,48
E00226,S003,Germán Baca Juárez,Customer Service,85,48
E00227,S003,Aldonza Rojo Correa,Cashier,75,48
E00228,S003,Rafaél Cisneros,Stock,65,48
E00229,S003,Ivonne Anel Tamayo Toledo,Supervisor,120,48
E00230,S003,Genaro Modesto Contreras Valencia,Stock,65,48
E00231,S003,Sra. Aurora Blanco,Floor,70,48
E00232,S003,Dra. Yeni Crespo,Stock,65,48
E00233,S003,Ariadna Ana Niño Alarcón,Stock,65,48
E00234,S003,Roberto Vergara Montez,Customer Service,85,48
E00235,S003,Evelio Bruno Garrido,Cashier,75,48
E00236,S003,Marisol Daniela Jaimes,Stock,65,48
E00237,S003,María Teresa Grijalva Mojica,Cashier,75,48
E00238,S003,David Flórez,Cashier,75,48
E00239,S003,Irma Patricia Arroyo,Floor,70,48
E00240,S003,Teresa Véliz Galarza,Customer Service,85,48
E00241,S004,Hermelinda Vanesa de Jesús,Floor,70,48
E00242,S004,Socorro Isabela Cantú,Cashier,75,48
E00243,S004,Amador Oswaldo Tejeda Escamilla,Cashier,75,48
E00244,S004,Joaquín Mauro Sanches,Cashier,75,48
E00245,S004,Yuridia Briseño Canales,Cashier,75,48
E00246,S004,Tomás Marrero Echeverría,Customer Service,85,48
E00247,S004,Elvira Orosco Cabán,Supervisor,120,48
E00248,S004,Wendolin Lourdes Rivero Muñoz,Supervisor,120,48
E00249,S004,Fidel Munguía Olivera,Stock,65,48
E00250,S004,Natalia Mondragón,Supervisor,120,48
E00251,S004,Zacarías Germán Alonzo Arguello,Cashier,75,48
E00252,S004,Judith Elvira Urbina Ojeda,Floor,70,48
E00253,S004,Pedro Guerra,Floor,70,48
E00254,S004,Alejandro Felipe Navarro Manzanares,Cashier,75,48
E00255,S004,Omar Olvera Limón,Floor,70,48
E00256,S004,Srita. Rosa Cuellar,Floor,70,48
E00257,S004,Sr. Octavio Ornelas,Floor,70,48
E00258,S004,Citlali Magdalena Esparza,Customer Service,85,48
E00259,S004,Sra. Eugenia Alcaraz,Floor,70,48
E00260,S004,Citlali Sepúlveda,Floor,70,48
E00261,S004,Leonel Elias Sisneros,Cashier,75,48
E00262,S004,Marcela Estrada Pineda,Supervisor,120,48
E00263,S004,Juan Rendón Vergara,Stock,65,48
E00264,S004,Camila Monroy,Cashier,75,48
E00265,S004,Bernardo Aurelio Solorio,Supervisor,120,48
E00266,S004,Juan Carlos Rolando Palacios,Supervisor,120,48
E00267,S004,Eloisa Estefanía Vaca Padilla,Stock,65,48
E00268,S004,Asunción Esquivel,Supervisor,120,48
E00269,S004,Ing. Zacarías Quintanilla,Floor,70,48
E00270,S004,Leticia Adriana Esparza Reséndez,Floor,70,48
E00271,S004,María Eugenia Lourdes Alcántar Gallardo,Floor,70,48
E00272,S004,Alicia Moreno,Supervisor,120,48
E00273,S004,Elvira Cabán,Cashier,75,48
E00274,S004,Angélica Gil,Cashier,75,48
E00275,S004,Pedro Rosario Laureano,Floor,70,48
E00276,S004,Elvira Balderas,Cashier,75,48
E00277,S004,Camilo Luevano Sotelo,Cashier,75,48
E00278,S004,Georgina María Eugenia Sepúlveda,Cashier,75,48
E00279,S004,Roberto Germán Alonzo Madera,Supervisor,120,48
E00280,S004,Nicolás Berríos Madrigal,Cashier,75,48
E00281,S004,Eric Suárez Vargas,Cashier,75,48
E00282,S004,Mauro Silvano Zapata Aguilera,Customer Service,85,48
E00283,S004,Paola Medina Lucero,Cashier,75,48
E00284,S004,Mercedes Virginia Hernádez,Cashier,75,48
E00285,S004,Wilfrido Francisco Henríquez,Cashier,75,48
E00286,S004,Gerónimo del Río Dueñas,Customer Service,85,48
E00287,S004,Esteban Hernádez,Cashier,75,48
E00288,S004,María Susana Díaz Reséndez,Supervisor,120,48
E00289,S004,Alicia Socorro Mascareñas Peres,Cashier,75,48
E00290,S004,Ing. Esperanza Zayas,Stock,65,48
E00291,S004,Horacio Porfirio Lozano Pacheco,Cashier,75,48
E00292,S004,Abraham Haro,Cashier,75,48
E00293,S004,Uriel Carrero,Floor,70,48
E00294,S004,Estela María Eugenia Córdova,Stock,65,48
E00295,S004,Amalia Huerta Palomino,Floor,70,48
E00296,S004,Raquel Victoria Chavarría Gallardo,Floor,70,48
E00297,S004,Luis Manuel Caballero,Cashier,75,48
E00298,S004,Irene Rivera,Cashier,75,48
E00299,S004,Dra. Marcela Aparicio,Floor,70,48
E00300,S004,Alfonso Alejandro Cisneros Ocampo,Stock,65,48
E00301,S004,Aldo Ballesteros Carvajal,Customer Service,85,48
E00302,S004,Ing. Susana Alcala,Stock,65,48
E00303,S004,Jorge Luis de la Torre,Stock,65,48
E00304,S004,Adán Aldo Vanegas Carrero,Floor,70,48
E00305,S004,Florencia Marcela Ponce Navarro,Stock,65,48
E00306,S004,Jaqueline Esperanza Delgado Barreto,Cashier,75,48
E00307,S004,Sr. Pascual Gonzales,Cashier,75,48
E00308,S004,Magdalena Frida Bahena Dueñas,Stock,65,48
E00309,S004,Sr. Sergio Badillo,Stock,65,48
E00310,S004,Linda Pedraza Arellano,Supervisor,120,48
E00311,S004,Isabela Pérez Valdivia,Stock,65,48
E00312,S004,Gabriel Benítez,Cashier,75,48
E00313,S004,Oswaldo Javier Ochoa,Stock,65,48
E00314,S004,Flavio Guardado,Stock,65,48
E00315,S004,Juan Carlos Elias Fierro Trujillo,Cashier,75,48
E00316,S004,Iván Alberto Leiva,Stock,65,48
E00317,S004,Dr. Sergio Beltrán,Cashier,75,48
E00318,S004,Dr. Rodolfo Treviño,Floor,70,48
E00319,S004,Asunción Martha Zedillo,Floor,70,48
E00320,S004,Lic. Anel Robles,Customer Service,85,48
E00321,S005,Sr. Mario Razo,Floor,70,48
E00322,S005,Lic. Soledad Molina,Cashier,75,48
E00323,S005,Hugo Viera,Cashier,75,48
E00324,S005,Timoteo Flavio Enríquez Quesada,Cashier,75,48
E00325,S005,Dr. Teodoro Tello,Cashier,75,48
E00326,S005,Josefina Laura Marroquín,Stock,65,48
E00327,S005,Srita. Linda Cardona,Cashier,75,48
E00328,S005,Germán Cintrón Enríquez,Supervisor,120,48
E00329,S005,Victoria Dulce María Durán Molina,Floor,70,48
E00330,S005,Raquel Frías,Cashier,75,48
E00331,S005,José Luis Morales Tello,Stock,65,48
E00332,S005,Adela Virginia Sandoval Calvillo,Floor,70,48
E00333,S005,Raquel Martínez Feliciano,Supervisor,120,48
E00334,S005,Lic. Guillermo Ramos,Supervisor,120,48
E00335,S005,Srita. Yuridia Cabrera,Customer Service,85,48
E00336,S005,Ramón Vásquez,Stock,65,48
E00337,S005,Benito Rivas,Stock,65,48
E00338,S005,Rebeca Cortez Navarrete,Cashier,75,48
E00339,S005,Jacinto Ramírez,Cashier,75,48
E00340,S005,Micaela Segovia,Cashier,75,48
E00341,S005,Juan Saavedra de León,Floor,70,48
E00342,S005,Violeta Pineda Armendáriz,Floor,70,48
E00343,S005,Liliana Camila Olivárez,Floor,70,48
E00344,S005,Nelly Cristal Aparicio Ayala,Cashier,75,48
E00345,S005,Sr. Gregorio Martínez,Customer Service,85,48
E00346,S005,Gabriel Gollum,Floor,70,48
E00347,S005,María Teresa Alfaro,Stock,65,48
E00348,S005,Serafín Miguel Manzanares,Stock,65,48
E00349,S005,Luis Emiliano Maya,Supervisor,120,48
E00350,S005,Angélica Caridad Partida Robles,Cashier,75,48
E00351,S005,Esteban Julio César Saldivar,Stock,65,48
E00352,S005,Lucía Yolanda Villaseñor,Cashier,75,48
E00353,S005,Nelly Eugenia Hernández Miranda,Customer Service,85,48
E00354,S005,Jonás Alfredo Carrión Solano,Floor,70,48
E00355,S005,Sr. Teodoro Palomo,Cashier,75,48
E00356,S005,Eloy Díaz Jaimes,Customer Service,85,48
E00357,S005,Mario Beltrán,Cashier,75,48
E00358,S005,Bianca Valdivia,Floor,70,48
E00359,S005,Violeta Esperanza Pineda,Cashier,75,48
E00360,S005,Roberto Melgar Anguiano,Supervisor,120,48
E00361,S005,Gerardo Lozano Lovato,Floor,70,48
E00362,S005,Bruno Quiñones Limón,Customer Service,85,48
E00363,S005,Julia Sandra Prado,Cashier,75,48
E00364,S005,Lorenzo Robles,Floor,70,48
E00365,S005,Timoteo Omar Aguilera Lerma,Cashier,75,48
E00366,S005,Roberto Pizarro,Cashier,75,48
E00367,S005,Lic. Ramón Carbajal,Customer Service,85,48
E00368,S005,Sofía Olga Nevárez Ponce,Stock,65,48
E00369,S005,Miriam Tania Ulibarri Lugo,Floor,70,48
E00370,S005,Esmeralda Estrada Tamez,Floor,70,48
E00371,S005,Renato Claudio Ureña Dávila,Cashier,75,48
E00372,S005,Inés Rocío Caraballo Cervantes,Supervisor,120,48
E00373,S005,Ing. María Luisa Valverde,Stock,65,48
E00374,S005,Reina Laureano,Customer Service,85,48
E00375,S005,Emilia Galván,Cashier,75,48
E00376,S005,Araceli Vergara,Cashier,75,48
E00377,S005,Pedro Mascareñas Bravo,Stock,65,48
E00378,S005,Mario José Carlos Gaytán Medrano,Cashier,75,48
E00379,S005,Gonzalo Jos Muñiz Rodarte,Cashier,75,48
E00380,S005,Bernardo Pedroza,Supervisor,120,48
E00381,S005,Octavio Tomás Salas,Cashier,75,48
E00382,S005,Irma Barbara Romero,Stock,65,48
E00383,S005,Verónica Barrientos Vázquez,Supervisor,120,48
E00384,S005,Abelardo Iván Espinoza,Cashier,75,48
E00385,S005,Benito Gregorio Canales Colunga,Stock,65,48
E00386,S005,Ricardo Durán,Floor,70,48
E00387,S005,Srita. Caridad Verduzco,Cashier,75,48
E00388,S005,Dra. Angélica Franco,Cashier,75,48
E00389,S005,Blanca Blanca Escobar Urrutia,Customer Service,85,48
E00390,S005,Lic. Alfredo Molina,Floor,70,48
E00391,S005,Jonás Aurelio Barela,Floor,70,48
E00392,S005,Gabriel José Luis Jasso Rendón,Floor,70,48
E00393,S005,Cecilia Liliana Ulloa,Supervisor,120,48
E00394,S005,Carmen Berta Casanova Ríos,Supervisor,120,48
E00395,S005,Rolando Riojas,Customer Service,85,48
E00396,S005,Jorge Clemente Gálvez,Stock,65,48
E00397,S005,Berta Ceja Medrano,Customer Service,85,48
E00398,S005,Marcela Rojas,Cashier,75,48
E00399,S005,Samuel Felipe Candelaria,Cashier,75,48
E00400,S005,Dr. Bernabé Bahena,Cashier,75,48
E00401,S006,Fidel Evelio Salazar,Stock,65,48
E00402,S006,Armando Quiñónez Peralta,Supervisor,120,48
E00403,S006,Jesús Domínguez Alba,Customer Service,85,48
E00404,S006,Isaac Jacobo Peres,Floor,70,48
E00405,S006,Yolanda de la Crúz Suárez,Stock,65,48
E00406,S006,Linda Muñiz Quiñónez,Stock,65,48
E00407,S006,Perla Esther Olmos,Stock,65,48
E00408,S006,Bernardo Eduardo Baeza Gálvez,Cashier,75,48
E00409,S006,Gustavo Benjamín Sosa Garrido,Floor,70,48
E00410,S006,Yeni Virginia Llamas,Stock,65,48
E00411,S006,Claudio Mondragón,Customer Service,85,48
E00412,S006,Salvador Jorge Cantú Lucero,Stock,65,48
E00413,S006,Lic. Gabino Santacruz,Stock,65,48
E00414,S006,Zacarías Miguel Linares,Cashier,75,48
E00415,S006,Mauro Reynaldo Márquez Montaño,Floor,70,48
E00416,S006,Dr. Alfonso Gonzales,Customer Service,85,48
E00417,S006,María Elena Torres,Cashier,75,48
E00418,S006,Marisela Ivonne Reynoso Peres,Cashier,75,48
E00419,S006,Ing. Beatriz Bravo,Floor,70,48
E00420,S006,Ana María Marcela Rendón,Stock,65,48
E00421,S006,Lic. Esteban Laboy,Floor,70,48
E00422,S006,Asunción Eloisa Blanco,Cashier,75,48
E00423,S006,Berta Saucedo,Floor,70,48
E00424,S006,Marisol Nancy Alejandro Carrero,Stock,65,48
E00425,S006,Tomás Candelaria,Supervisor,120,48
E00426,S006,Víctor Marroquín,Stock,65,48
E00427,S006,Dr. Alonso Raya,Cashier,75,48
E00428,S006,Ana María Bueno Quiñónez,Supervisor,120,48
E00429,S006,Sandra Itzel Granado,Supervisor,120,48
E00430,S006,Ramón Julio César Amaya,Floor,70,48
E00431,S006,Juana Raquel Cabán Márquez,Floor,70,48
E00432,S006,Dra. Caridad Botello,Cashier,75,48
E00433,S006,Dra. Georgina Fernández,Floor,70,48
E00434,S006,Luisa Noriega Ledesma,Floor,70,48
E00435,S006,Santiago Godoy,Cashier,75,48
E00436,S006,Sr. Mariano Gutiérrez,Floor,70,48
E00437,S006,Marisol Montenegro Almonte,Customer Service,85,48
E00438,S006,Reynaldo Mares Nevárez,Floor,70,48
E00439,S006,Claudia Almaraz,Customer Service,85,48
E00440,S006,Lic. Rosario Leiva,Floor,70,48
E00441,S006,Abelardo Perea,Cashier,75,48
E00442,S006,Mauricio de la O Ocampo,Floor,70,48
E00443,S006,Sr. Eloy Lira,Customer Service,85,48
E00444,S006,José María Vicente Vásquez,Floor,70,48
E00445,S006,Elsa Yeni Sevilla Cadena,Cashier,75,48
E00446,S006,Julia Aldonza Balderas Méndez,Stock,65,48
E00447,S006,Micaela Alicia Ramírez Santiago,Cashier,75,48
E00448,S006,Sra. Hilda Guerrero,Customer Service,85,48
E00449,S006,Serafín Segovia,Cashier,75,48
E00450,S006,María Elena Frida Uribe,Floor,70,48
E00451,S006,José Emilio Casares,Cashier,75,48
E00452,S006,Dra. Cecilia Cavazos,Floor,70,48
E00453,S006,Sr. Zacarías Sisneros,Cashier,75,48
E00454,S006,Natividad Cecilia Roybal,Stock,65,48
E00455,S006,José Emilio Mota Caballero,Floor,70,48
E00456,S006,Gloria Jaime,Supervisor,120,48
E00457,S006,Lic. Elisa Menchaca,Floor,70,48
E00458,S006,Flavio Gerónimo Solorio Pabón,Stock,65,48
E00459,S006,Dra. Sara Lara,Cashier,75,48
E00460,S006,Zeferino Francisco Cervántez,Floor,70,48
E00461,S006,Dr. Omar Haro,Cashier,75,48
E00462,S006,Evelio Zavala Negrete,Customer Service,85,48
E00463,S006,Maximiliano Mercado,Stock,65,48
E00464,S006,Marisol Linda Urrutia,Customer Service,85,48
E00465,S006,Raúl Jaime Meraz,Stock,65,48
E00466,S006,Benjamín Genaro Padrón Rivas,Floor,70,48
E00467,S006,Lic. Patricia Munguía,Cashier,75,48
E00468,S006,María Estela Olivárez Corona,Cashier,75,48
E00469,S006,Teodoro Prado,Customer Service,85,48
E00470,S006,Dulce Cecilia Farías,Supervisor,120,48
E00471,S006,Ing. Ariadna Zarate,Supervisor,120,48
E00472,S006,Silvia Vela,Cashier,75,48
E00473,S006,Ing. Silvano Jiménez,Cashier,75,48
E00474,S006,Claudio Octavio Heredia Morales,Cashier,75,48
E00475,S006,Nancy Eloisa Rangel Vázquez,Floor,70,48
