employee_id,employee_name,store_id,role,hourly_wage_mxn,scheduled_hours,regular_hours,overtime_hours,regular_cost_mxn,overtime_penalty_cost_mxn,total_labor_cost_mxn
E00045,Camilo Juan Carlos Benavídez Murillo,S001,Cashier,75,8,8,0,600,0.0,600.0
E00046,Nicolás Bétancourt Lozada,S001,Floor,70,8,8,0,560,0.0,560.0
E00049,Jacobo Hurtado Miranda,S001,Supervisor,120,48,48,0,5760,0.0,5760.0
E00050,Timoteo Acosta Velasco,S001,Floor,70,8,8,0,560,0.0,560.0
E00052,Abelardo Granado,S001,Supervisor,120,24,24,0,2880,0.0,2880.0
E00059,Ing. Socorro Zavala,S001,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00078,Lic. Socorro Corral,S001,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00080,Francisca Yolanda Carrión,S001,Customer Service,85,40,40,0,3400,0.0,3400.0
E00081,Martha Guevara,S002,Cashier,75,56,48,8,3600,1200.0,4800.0
E00082,Felix Germán Hidalgo,S002,Stock,65,56,48,8,3120,1040.0,4160.0
E00083,Dulce María Andrea Aguirre,S002,Stock,65,56,48,8,3120,1040.0,4160.0
E00084,Hugo Elias Montoya Rodríquez,S002,Floor,70,56,48,8,3360,1120.0,4480.0
E00085,José Manuél Elias Matos Lemus,S002,Floor,70,56,48,8,3360,1120.0,4480.0
E00086,Karina Matos,S002,Stock,65,8,8,0,520,0.0,520.0
E00087,Maximiliano Galindo Manzanares,S002,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00088,Rodolfo Jasso,S002,Stock,65,8,8,0,520,0.0,520.0
E00089,Eloisa Matos Rolón,S002,Cashier,75,56,48,8,3600,1200.0,4800.0
E00091,Eugenio Castillo,S002,Floor,70,56,48,8,3360,1120.0,4480.0
E00092,Dra. Rebeca Alfaro,S002,Cashier,75,56,48,8,3600,1200.0,4800.0
E00093,Andrea Enríquez,S002,Floor,70,56,48,8,3360,1120.0,4480.0
E00095,Cristal Durán,S002,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00097,Dr. José Eduardo Rodarte,S002,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00098,Srita. Rosalia Cedillo,S002,Cashier,75,56,48,8,3600,1200.0,4800.0
E00099,Minerva Narváez,S002,Cashier,75,32,32,0,2400,0.0,2400.0
E00100,Liliana Diana Cotto Romo,S002,Floor,70,8,8,0,560,0.0,560.0
E00101,Aldo Arturo Esquibel,S002,Cashier,75,16,16,0,1200,0.0,1200.0
E00102,Conchita Anabel Zamora,S002,Floor,70,8,8,0,560,0.0,560.0
E00103,Yuridia Corona de la O,S002,Cashier,75,8,8,0,600,0.0,600.0
E00104,Ing. Héctor Carrera,S002,Customer Service,85,40,40,0,3400,0.0,3400.0
E00108,Martín Flavio Escobar Ferrer,S002,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00110,Perla Hermelinda Maya,S002,Customer Service,85,16,16,0,1360,0.0,1360.0
E00161,Florencia Susana Cardona,S003,Cashier,75,56,48,8,3600,1200.0,4800.0
E00162,Mauricio Padilla Luevano,S003,Cashier,75,56,48,8,3600,1200.0,4800.0
E00163,Lic. Fabiola Gurule,S003,Cashier,75,56,48,8,3600,1200.0,4800.0
E00164,Genaro Miguel Ángel Montenegro Limón,S003,Floor,70,56,48,8,3360,1120.0,4480.0
E00165,Adán Peña,S003,Floor,70,56,48,8,3360,1120.0,4480.0
E00166,Sra. Abril Orta,S003,Cashier,75,56,48,8,3600,1200.0,4800.0
E00167,José María Raúl Reyes Bernal,S003,Stock,65,56,48,8,3120,1040.0,4160.0
E00168,Sra. Guillermina Cano,S003,Cashier,75,56,48,8,3600,1200.0,4800.0
E00169,Dra. Cecilia Rosales,S003,Stock,65,56,48,8,3120,1040.0,4160.0
E00170,Ing. José Manuél Saldaña,S003,Cashier,75,56,48,8,3600,1200.0,4800.0
E00171,Esteban Alfonso Frías Hidalgo,S003,Floor,70,56,48,8,3360,1120.0,4480.0
E00172,Ing. Lorena de la Fuente,S003,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00173,Emilio del Río Becerra,S003,Stock,65,56,48,8,3120,1040.0,4160.0
E00174,Ramón Rosales Canales,S003,Floor,70,56,48,8,3360,1120.0,4480.0
E00175,Karina Cervantes,S003,Floor,70,56,48,8,3360,1120.0,4480.0
E00176,Emiliano Henríquez Quiñones,S003,Stock,65,40,40,0,2600,0.0,2600.0
E00177,Pilar Trinidad Parra,S003,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00178,Germán Quintanilla Saldaña,S003,Cashier,75,48,48,0,3600,0.0,3600.0
E00179,Wilfrido Emiliano Vera,S003,Floor,70,48,48,0,3360,0.0,3360.0
E00180,Lic. Uriel Cordero,S003,Stock,65,8,8,0,520,0.0,520.0
E00181,Mariana Casas Puente,S003,Floor,70,32,32,0,2240,0.0,2240.0
E00182,Jorge Luis Patiño,S003,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00183,Adela Carmen Hernández Meraz,S003,Cashier,75,40,40,0,3000,0.0,3000.0
E00185,Vicente Prado,S003,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00186,Tania Huerta,S003,Cashier,75,24,24,0,1800,0.0,1800.0
E00188,María Eugenia Leiva Mondragón,S003,Supervisor,120,8,8,0,960,0.0,960.0
E00189,Reynaldo Aragón Meraz,S003,Floor,70,16,16,0,1120,0.0,1120.0
E00190,Hilda Zamudio Barajas,S003,Floor,70,8,8,0,560,0.0,560.0
E00194,Sra. Frida Salas,S003,Cashier,75,16,16,0,1200,0.0,1200.0
E00196,Margarita Asunción Mateo Puga,S003,Cashier,75,8,8,0,600,0.0,600.0
E00198,Mariana Noemí Quintanilla,S003,Cashier,75,8,8,0,600,0.0,600.0
E00207,Lic. Miriam Arteaga,S003,Supervisor,120,8,8,0,960,0.0,960.0
E00209,Antonio Diego Robles Mayorga,S003,Cashier,75,8,8,0,600,0.0,600.0
E00210,Minerva Arredondo,S003,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00226,Germán Baca Juárez,S003,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00234,Roberto Vergara Montez,S003,Customer Service,85,40,40,0,3400,0.0,3400.0
E00240,Teresa Véliz Galarza,S003,Customer Service,85,16,16,0,1360,0.0,1360.0
E00241,Hermelinda Vanesa de Jesús,S004,Floor,70,56,48,8,3360,1120.0,4480.0
E00242,Socorro Isabela Cantú,S004,Cashier,75,56,48,8,3600,1200.0,4800.0
E00243,Amador Oswaldo Tejeda Escamilla,S004,Cashier,75,56,48,8,3600,1200.0,4800.0
E00244,Joaquín Mauro Sanches,S004,Cashier,75,56,48,8,3600,1200.0,4800.0
E00245,Yuridia Briseño Canales,S004,Cashier,75,56,48,8,3600,1200.0,4800.0
E00246,Tomás Marrero Echeverría,S004,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00247,Elvira Orosco Cabán,S004,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00248,Wendolin Lourdes Rivero Muñoz,S004,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00249,Fidel Munguía Olivera,S004,Stock,65,56,48,8,3120,1040.0,4160.0
E00251,Zacarías Germán Alonzo Arguello,S004,Cashier,75,48,48,0,3600,0.0,3600.0
E00252,Judith Elvira Urbina Ojeda,S004,Floor,70,56,48,8,3360,1120.0,4480.0
E00253,Pedro Guerra,S004,Floor,70,56,48,8,3360,1120.0,4480.0
E00254,Alejandro Felipe Navarro Manzanares,S004,Cashier,75,16,16,0,1200,0.0,1200.0
E00255,Omar Olvera Limón,S004,Floor,70,56,48,8,3360,1120.0,4480.0
E00256,Srita. Rosa Cuellar,S004,Floor,70,8,8,0,560,0.0,560.0
E00257,Sr. Octavio Ornelas,S004,Floor,70,8,8,0,560,0.0,560.0
E00258,Citlali Magdalena Esparza,S004,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00261,Leonel Elias Sisneros,S004,Cashier,75,8,8,0,600,0.0,600.0
E00263,Juan Rendón Vergara,S004,Stock,65,56,48,8,3120,1040.0,4160.0
E00267,Eloisa Estefanía Vaca Padilla,S004,Stock,65,8,8,0,520,0.0,520.0
E00282,Mauro Silvano Zapata Aguilera,S004,Customer Service,85,48,48,0,4080,0.0,4080.0
E00286,Gerónimo del Río Dueñas,S004,Customer Service,85,16,16,0,1360,0.0,1360.0
E00290,Ing. Esperanza Zayas,S004,Stock,65,8,8,0,520,0.0,520.0
E00321,Sr. Mario Razo,S005,Floor,70,56,48,8,3360,1120.0,4480.0
E00322,Lic. Soledad Molina,S005,Cashier,75,56,48,8,3600,1200.0,4800.0
E00323,Hugo Viera,S005,Cashier,75,56,48,8,3600,1200.0,4800.0
E00324,Timoteo Flavio Enríquez Quesada,S005,Cashier,75,56,48,8,3600,1200.0,4800.0
E00325,Dr. Teodoro Tello,S005,Cashier,75,56,48,8,3600,1200.0,4800.0
E00326,Josefina Laura Marroquín,S005,Stock,65,56,48,8,3120,1040.0,4160.0
E00327,Srita. Linda Cardona,S005,Cashier,75,40,40,0,3000,0.0,3000.0
E00328,Germán Cintrón Enríquez,S005,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00329,Victoria Dulce María Durán Molina,S005,Floor,70,56,48,8,3360,1120.0,4480.0
E00330,Raquel Frías,S005,Cashier,75,16,16,0,1200,0.0,1200.0
E00331,José Luis Morales Tello,S005,Stock,65,56,48,8,3120,1040.0,4160.0
E00332,Adela Virginia Sandoval Calvillo,S005,Floor,70,56,48,8,3360,1120.0,4480.0
E00333,Raquel Martínez Feliciano,S005,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00335,Srita. Yuridia Cabrera,S005,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00336,Ramón Vásquez,S005,Stock,65,8,8,0,520,0.0,520.0
E00337,Benito Rivas,S005,Stock,65,8,8,0,520,0.0,520.0
E00338,Rebeca Cortez Navarrete,S005,Cashier,75,8,8,0,600,0.0,600.0
E00339,Jacinto Ramírez,S005,Cashier,75,8,8,0,600,0.0,600.0
E00341,Juan Saavedra de León,S005,Floor,70,56,48,8,3360,1120.0,4480.0
E00342,Violeta Pineda Armendáriz,S005,Floor,70,8,8,0,560,0.0,560.0
E00343,Liliana Camila Olivárez,S005,Floor,70,8,8,0,560,0.0,560.0
E00345,Sr. Gregorio Martínez,S005,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00353,Nelly Eugenia Hernández Miranda,S005,Customer Service,85,40,40,0,3400,0.0,3400.0
E00356,Eloy Díaz Jaimes,S005,Customer Service,85,16,16,0,1360,0.0,1360.0
E00401,Fidel Evelio Salazar,S006,Stock,65,56,48,8,3120,1040.0,4160.0
E00402,Armando Quiñónez Peralta,S006,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00403,Jesús Domínguez Alba,S006,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00404,Isaac Jacobo Peres,S006,Floor,70,56,48,8,3360,1120.0,4480.0
E00405,Yolanda de la Crúz Suárez,S006,Stock,65,56,48,8,3120,1040.0,4160.0
E00406,Linda Muñiz Quiñónez,S006,Stock,65,8,8,0,520,0.0,520.0
E00407,Perla Esther Olmos,S006,Stock,65,8,8,0,520,0.0,520.0
E00408,Bernardo Eduardo Baeza Gálvez,S006,Cashier,75,56,48,8,3600,1200.0,4800.0
E00409,Gustavo Benjamín Sosa Garrido,S006,Floor,70,56,48,8,3360,1120.0,4480.0
E00411,Claudio Mondragón,S006,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00414,Zacarías Miguel Linares,S006,Cashier,75,56,48,8,3600,1200.0,4800.0
E00415,Mauro Reynaldo Márquez Montaño,S006,Floor,70,56,48,8,3360,1120.0,4480.0
E00416,Dr. Alfonso Gonzales,S006,Customer Service,85,40,40,0,3400,0.0,3400.0
E00417,María Elena Torres,S006,Cashier,75,56,48,8,3600,1200.0,4800.0
E00418,Marisela Ivonne Reynoso Peres,S006,Cashier,75,56,48,8,3600,1200.0,4800.0
E00419,Ing. Beatriz Bravo,S006,Floor,70,56,48,8,3360,1120.0,4480.0
E00421,Lic. Esteban Laboy,S006,Floor,70,8,8,0,560,0.0,560.0
E00422,Asunción Eloisa Blanco,S006,Cashier,75,40,40,0,3000,0.0,3000.0
E00423,Berta Saucedo,S006,Floor,70,8,8,0,560,0.0,560.0
E00425,Tomás Candelaria,S006,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00427,Dr. Alonso Raya,S006,Cashier,75,16,16,0,1200,0.0,1200.0
E00437,Marisol Montenegro Almonte,S006,Customer Service,85,16,16,0,1360,0.0,1360.0
E00481,Renato Eduardo Casas Zúñiga,S007,Stock,65,56,48,8,3120,1040.0,4160.0
E00482,Lic. Reynaldo Sandoval,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00483,Norma Minerva Olivárez,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00484,Lucas Adalberto Acuña Flores,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00485,Carla Fabiola Campos,S007,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00486,Espartaco Romero Lozano,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00487,María José Conchita Villanueva Moreno,S007,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00488,Serafín Alfredo Niño,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00489,Abraham Mario de la Garza,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00490,Lic. Eloisa Zambrano,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00491,Bruno Marroquín Vásquez,S007,Stock,65,56,48,8,3120,1040.0,4160.0
E00492,Guillermo Córdova Cornejo,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00493,Clemente Paredes Saldaña,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00494,Fernando José Emilio Meraz,S007,Stock,65,56,48,8,3120,1040.0,4160.0
E00495,Victoria Serrano Elizondo,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00496,Sr. Germán Puga,S007,Stock,65,56,48,8,3120,1040.0,4160.0
E00497,Nancy Alarcón Jimínez,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00498,Cornelio Jorge Avilés,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00499,Dra. Amelia Salgado,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00500,Patricio Jorge Luis Posada,S007,Stock,65,48,48,0,3120,0.0,3120.0
E00501,Gabino Pablo Elizondo,S007,Floor,70,56,48,8,3360,1120.0,4480.0
E00502,Sr. Mauro Ortiz,S007,Floor,70,40,40,0,2800,0.0,2800.0
E00503,Araceli Nava Menéndez,S007,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00504,Cecilia Limón,S007,Stock,65,24,24,0,1560,0.0,1560.0
E00505,Ruby Alonzo,S007,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00506,Camilo Mauricio Cano Morales,S007,Floor,70,24,24,0,1680,0.0,1680.0
E00507,Eric Silvano Cantú Gil,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00508,Francisco Tomás Benítez Haro,S007,Cashier,75,56,48,8,3600,1200.0,4800.0
E00509,Noelia Cervantes,S007,Supervisor,120,48,48,0,5760,0.0,5760.0
E00510,Celia Merino Fonseca,S007,Floor,70,16,16,0,1120,0.0,1120.0
E00511,Juan Sánchez Cano,S007,Stock,65,8,8,0,520,0.0,520.0
E00512,Zoé Zavala Mateo,S007,Cashier,75,48,48,0,3600,0.0,3600.0
E00513,Lic. Yolanda Ponce,S007,Floor,70,8,8,0,560,0.0,560.0
E00514,Germán Eugenio Ortega,S007,Floor,70,8,8,0,560,0.0,560.0
E00515,Sra. Perla Botello,S007,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00516,Pamela Ramírez,S007,Cashier,75,32,32,0,2400,0.0,2400.0
E00517,Wendolin Mitzy Olmos,S007,Floor,70,8,8,0,560,0.0,560.0
E00519,Benjamín Samuel Olivárez Guerrero,S007,Cashier,75,24,24,0,1800,0.0,1800.0
E00522,Dulce María Conchita Parra Fonseca,S007,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00524,Felix Juárez Vigil,S007,Cashier,75,24,24,0,1800,0.0,1800.0
E00525,Lic. Espartaco Bahena,S007,Cashier,75,8,8,0,600,0.0,600.0
E00526,Dra. Alma Mares,S007,Cashier,75,8,8,0,600,0.0,600.0
E00527,Pamela Luz Arenas,S007,Cashier,75,8,8,0,600,0.0,600.0
E00528,Natalia Isabel Guajardo Tamez,S007,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00531,Fernando Silvano Vanegas Gamez,S007,Supervisor,120,24,24,0,2880,0.0,2880.0
E00534,Uriel Palomino,S007,Stock,65,8,8,0,520,0.0,520.0
E00535,Ing. Jacobo Madrid,S007,Cashier,75,8,8,0,600,0.0,600.0
E00554,Paulina Amanda Zamudio,S007,Customer Service,85,40,40,0,3400,0.0,3400.0
E00561,Armando Castro,S008,Floor,70,56,48,8,3360,1120.0,4480.0
E00562,María Luisa Alonso,S008,Stock,65,56,48,8,3120,1040.0,4160.0
E00563,Omar Horacio Sanabria,S008,Stock,65,56,48,8,3120,1040.0,4160.0
E00564,Srita. Clara Aponte,S008,Stock,65,56,48,8,3120,1040.0,4160.0
E00565,Gonzalo Miguel Quintana Montañez,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00566,Karina Lorena Galindo Pabón,S008,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00567,Frida Cynthia Vásquez,S008,Stock,65,40,40,0,2600,0.0,2600.0
E00568,Marcos Granados,S008,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00569,María Bianca Tafoya del Río,S008,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00570,Alvaro Alfonso Hernández,S008,Floor,70,56,48,8,3360,1120.0,4480.0
E00571,César Augusto Gaitán Arroyo,S008,Floor,70,56,48,8,3360,1120.0,4480.0
E00572,Lic. César Estévez,S008,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00573,Elisa Rebeca Caldera Alcaraz,S008,Stock,65,8,8,0,520,0.0,520.0
E00574,Frida Carreón Hernández,S008,Stock,65,8,8,0,520,0.0,520.0
E00575,Sr. Patricio Granados,S008,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00576,Ing. Esteban Arias,S008,Floor,70,56,48,8,3360,1120.0,4480.0
E00577,Carolina Esparta Cepeda Girón,S008,Floor,70,56,48,8,3360,1120.0,4480.0
E00578,Teodoro Saiz,S008,Floor,70,48,48,0,3360,0.0,3360.0
E00580,Abelardo Duarte Hernández,S008,Supervisor,120,8,8,0,960,0.0,960.0
E00581,Fernando Augusto de León Lemus,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00582,Mitzy Reséndez,S008,Supervisor,120,8,8,0,960,0.0,960.0
E00583,Cynthia Blanco Mesa,S008,Floor,70,24,24,0,1680,0.0,1680.0
E00586,Dr. Augusto Alonso,S008,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00587,Barbara Juana Gonzales Bueno,S008,Floor,70,16,16,0,1120,0.0,1120.0
E00588,Esparta Alicia Barraza,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00590,Bernardo Zeferino Lozada Riojas,S008,Floor,70,8,8,0,560,0.0,560.0
E00591,Lic. Marisela Quiñones,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00592,Dra. Noemí del Río,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00593,Diana Olivera Magaña,S008,Floor,70,8,8,0,560,0.0,560.0
E00596,Soledad Sandra Orosco,S008,Customer Service,85,40,40,0,3400,0.0,3400.0
E00600,Dra. Juana Sisneros,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00601,Ignacio Ignacio Griego Villa,S008,Cashier,75,56,48,8,3600,1200.0,4800.0
E00602,Estela Andrea Casas,S008,Cashier,75,40,40,0,3000,0.0,3000.0
E00603,Ignacio Renato Medrano,S008,Cashier,75,24,24,0,1800,0.0,1800.0
E00604,Sr. Maximiliano Jáquez,S008,Cashier,75,8,8,0,600,0.0,600.0
E00606,José María Bernardo Suárez,S008,Customer Service,85,8,8,0,680,0.0,680.0
E00608,Martín López,S008,Cashier,75,8,8,0,600,0.0,600.0
E00610,Adela Véliz,S008,Cashier,75,8,8,0,600,0.0,600.0
E00622,Sr. Fernando Leyva,S008,Customer Service,85,8,8,0,680,0.0,680.0
E00641,Lic. Juana Gutiérrez,S009,Cashier,75,56,48,8,3600,1200.0,4800.0
E00642,Ivonne Castillo,S009,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00643,Leonor Pulido Fernández,S009,Floor,70,56,48,8,3360,1120.0,4480.0
E00644,Sra. Estefanía Mota,S009,Stock,65,56,48,8,3120,1040.0,4160.0
E00645,Ing. Octavio Limón,S009,Stock,65,56,48,8,3120,1040.0,4160.0
E00646,Rocío Fabiola Brito,S009,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00647,Zeferino Linares,S009,Cashier,75,56,48,8,3600,1200.0,4800.0
E00648,Carlota Natividad Madera Mora,S009,Floor,70,56,48,8,3360,1120.0,4480.0
E00649,Dr. Silvano Tello,S009,Floor,70,56,48,8,3360,1120.0,4480.0
E00650,Marisela Ariadna Barela Ávila,S009,Floor,70,56,48,8,3360,1120.0,4480.0
E00651,María José Susana Hidalgo Tamez,S009,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00652,Jonás Lorenzo Arguello,S009,Floor,70,56,48,8,3360,1120.0,4480.0
E00653,Esmeralda Dulce María Jaime,S009,Cashier,75,56,48,8,3600,1200.0,4800.0
E00654,José Eduardo Gabino Lira Cortés,S009,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00655,Amador Marco Antonio Ponce,S009,Floor,70,48,48,0,3360,0.0,3360.0
E00656,Iván Mauro Toledo,S009,Stock,65,56,48,8,3120,1040.0,4160.0
E00657,Linda Botello,S009,Floor,70,32,32,0,2240,0.0,2240.0
E00658,Paulina Florencia Delgadillo,S009,Floor,70,16,16,0,1120,0.0,1120.0
E00659,Wendolin Gaitán Jasso,S009,Floor,70,8,8,0,560,0.0,560.0
E00660,Estela Antonia Montemayor Granado,S009,Stock,65,40,40,0,2600,0.0,2600.0
E00661,Pascual Leiva,S009,Cashier,75,56,48,8,3600,1200.0,4800.0
E00662,Pilar Dolores Espino Casillas,S009,Stock,65,8,8,0,520,0.0,520.0
E00663,Camila Espinosa,S009,Floor,70,8,8,0,560,0.0,560.0
E00664,Manuel Montero Melgar,S009,Supervisor,120,56,48,8,5760,1920.0,7680.0
E00665,Alfonso Claudio Montañez Aponte,S009,Stock,65,8,8,0,520,0.0,520.0
E00666,Ariadna Reséndez Ruiz,S009,Customer Service,85,56,48,8,4080,1360.0,5440.0
E00667,Amalia Ángela Cadena Caraballo,S009,Cashier,75,56,48,8,3600,1200.0,4800.0
E00668,Sr. Jacobo Correa,S009,Supervisor,120,8,8,0,960,0.0,960.0
E00669,María Luisa Victoria Jáquez Tórrez,S009,Customer Service,85,40,40,0,3400,0.0,3400.0
E00672,Srita. Hermelinda Rael,S009,Cashier,75,56,48,8,3600,1200.0,4800.0
E00678,Dr. Emiliano Jimínez,S009,Supervisor,120,8,8,0,960,0.0,960.0
E00680,Iván Vallejo,S009,Cashier,75,48,48,0,3600,0.0,3600.0
E00681,Jorge Galindo,S009,Customer Service,85,8,8,0,680,0.0,680.0
E00685,Cristobal Lebrón Chávez,S009,Cashier,75,40,40,0,3000,0.0,3000.0
E00686,Miguel Uriel Paz,S009,Cashier,75,24,24,0,1800,0.0,1800.0
E00688,Clemente Rodrígez Palacios,S009,Cashier,75,8,8,0,600,0.0,600.0
E00689,Gerónimo Raúl Esquivel Navarrete,S009,Cashier,75,8,8,0,600,0.0,600.0
E00692,Benito Beltrán,S009,Cashier,75,8,8,0,600,0.0,600.0
E00695,Carlos Preciado,S009,Cashier,75,8,8,0,600,0.0,600.0
E00713,Joaquín Jiménez,S009,Customer Service,85,8,8,0,680,0.0,680.0
E00721,Marisela Guillermina Garza Viera,S010,Customer Service,85,56,48,8,4080,1360.0,5440.0
